playlist_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,popularity,speechiness,tempo,valence,explicit,mode,followers,num_tracks,track_feat,track_remast,track_remix,album_feat,album_deluxe,album_best,time_sign_0.0,time_sign_3.0,time_sign_4.0,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0
101_FTB,0.43856432432432424,0.5018108108108107,205387.05405405405,0.5475135135135136,0.22084647513513514,0.23315945945945948,-9.40327027027027,9.594594594594595,0.05765675675675677,111.09443243243243,0.5282297297297297,0,1.0,70,37,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"12"" Classics",0.08860334600000003,0.7227600000000001,392375.21,0.7252600000000002,0.18373356599999993,0.14265100000000003,-9.359589999999999,23.89,0.054365,119.40385999999998,0.75028,0,1.0,173852,100,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1960,0.6485540000000001,0.5344399999999999,156726.08,0.4854,0.047362431799999986,0.25641200000000003,-10.751139999999998,16.0,0.046016,123.05102000000002,0.701034,0,1.0,410,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1960s Nostalgia,0.43235313432835826,0.5201492537313435,228113.0,0.4861955223880596,0.0696144819402985,0.20374477611940298,-11.783328358208959,50.64179104477612,0.05585223880597013,121.41288059701492,0.6082567164179105,0,1.0,11072,67,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1961,0.6216952,0.5719999999999998,151105.32,0.459162,0.1253983906,0.2305100000000001,-11.087019999999997,17.42,0.046983999999999984,117.69103999999999,0.6884800000000001,0,1.0,312,50,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1962,0.5966259999999999,0.57646,153567.4,0.46554399999999996,0.1040826474,0.196854,-11.087539999999999,16.42,0.06418800000000001,116.5836,0.7082199999999997,0,1.0,307,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1963,0.56538234,0.5624399999999998,152410.5,0.5249199999999999,0.0866059802,0.25188000000000005,-10.652959999999998,22.82,0.06188999999999997,115.59579999999994,0.7153599999999999,0,1.0,301,50,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1964,0.5020555999999999,0.5649600000000001,162700.8,0.5240739999999999,0.0375874484,0.20617599999999997,-9.982160000000002,21.78,0.050688,123.98,0.7086259999999999,0,1.0,317,50,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1965,0.4536983999999999,0.54574,171122.16,0.5553599999999999,0.07235274380000001,0.25523,-9.90752,25.14,0.048356,116.74346000000003,0.6633999999999999,0,1.0,337,50,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1966,0.3511992,0.56962,169095.08,0.5694599999999999,0.017042745800000002,0.19216800000000003,-9.806619999999997,24.9,0.04130600000000001,117.80996000000005,0.6794400000000003,0,1.0,309,50,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1967,0.41104000000000007,0.5465400000000001,167477.26,0.5444,0.0174701422,0.19756999999999988,-9.900039999999999,24.78,0.042002000000000005,121.22857999999998,0.6768799999999999,0,1.0,314,50,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1968,0.44196144000000004,0.5687800000000001,186384.22,0.52848,0.12363226019999995,0.212834,-10.707820000000002,29.4,0.04904600000000001,120.25991999999998,0.6678800000000001,0,1.0,310,50,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1969,0.3740354000000001,0.5431400000000002,194384.4,0.5172999999999999,0.022814585800000006,0.19626200000000002,-10.30886,33.28,0.04593400000000001,114.37034000000003,0.6541400000000002,0,1.0,339,50,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1970,0.3235132,0.5590799999999999,218085.9,0.60052,0.025928643600000002,0.252386,-9.75934,30.6,0.051136000000000015,116.38130000000005,0.6600600000000001,0,1.0,372,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1971,0.459126,0.5711599999999999,199679.98,0.5320940000000003,0.0169383496,0.17734000000000003,-10.47628,27.5,0.05692,113.06896,0.6625799999999998,0,1.0,326,50,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1972,0.47450612244897955,0.600734693877551,205348.18367346938,0.5363061224489797,0.05885918183673469,0.17831020408163262,-10.623897959183674,31.591836734693878,0.05621020408163263,121.06971428571431,0.6593163265306121,0,1.0,320,49,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1973,0.3081071999999999,0.5774,227210.2,0.5669399999999998,0.030591912,0.157884,-10.676279999999998,34.32,0.053534,124.63896000000004,0.71048,0,1.0,321,50,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1974,0.42120958,0.5927,211905.7,0.5769000000000001,0.045142116999999995,0.21602600000000005,-10.351520000000002,33.78,0.060658,119.57036000000004,0.6821600000000001,0,1.0,334,50,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
